"Response_ID","Date_submitted","Last_page","Start_language","Date_started","Date_last_action","IP_address","Referrer_URL","Which_part_of_the_NHS_do_you_mainly_work_in?","Which_part_of_the_NHS_do_you_mainly_work_in?_[Other]","What_is_your_main_job/role_within_the_NHS?","What_is_your_main_job/role_within_the_NHS?_[Other]","Can_you_access_WiFi_in_your_place_of_NHS_work?","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_my_own_device_(BYOD)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_a_work-provided_device]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_requires_login_on_a_web_page_after_device_connects_to_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_have_access_to_EduRoam,_the_academic_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_is_provided_by_a_commercial_service_(WiFispark,_BT_OpenZone,_The_Cloud_etc)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_is_free]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_works_in_most_areas_of_my_workplace_that_I_need_it_to.]","Please_provide_some_further_information:_[WiFi_access_is_only_for_work_devices_and_I_haven't_been_provided_with_one]","Please_provide_some_further_information:_[WiFi_isn't_required_-_internet_and_clinical_record_access_via_Desktop_PCs_is_sufficient]","Please_provide_some_further_information:_[There_are_no_WiFi_networks_at_all]","Please_provide_some_further_information:_[There_is_a_good_mobile_data_signal_(ie_3G,_4G)_in_my_place_of_work]","Please_provide_some_further_information:_[Other]","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?_-_comment","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Medical_knowledge_resources]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Personal_email]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Trust_Intranet_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Work_email/NHSMail]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Mobile_electronic_medical_record_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Order_tests_for_patients]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Getting_results_of_patients'_tests]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Patients'_demographic_details_&_location_tracking]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Social_Media/Social_Networking]","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:_[Other]","OPTIONAL:_What_is_the_postcode_of_the_NHS_organisation_at_which_you_do_most_of_your_work?","OPTIONAL:_do_you_have_any_comments_on_WiFi_access_for_staff_or_patients_in_the_NHS?","Total_time","Group_time:_WiFi_in_your_Workplace","Question_time:_NHSSECTOR","Question_time:_JOBROLE","Question_time:_YESNOWIFI","Question_time:_YESWIFI","Question_time:_NOWIFI","Question_time:_CAREQUALITY","Question_time:_DOWITHWIFI","Question_time:_Q0009","Question_time:_POSTCODE","Question_time:_COMMENTS"
"1263","2014-09-25 08:50:53","1","en","2014-09-25 08:46:24","2014-09-25 08:50:53","213.106.240.194","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","No","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I want to be able to do this","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","OX37LJ","Currently un-secure access therefore warning comes up at every log in - does restrict what information I will access","268.63","","","","","","","","","","",""
"9","2014-09-18 13:18:03","1","en","2014-09-18 13:08:33","2014-09-18 13:18:03","194.176.105.138","","Secondary Care / Hospital","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","as its not allowed you can have no idea what effect it would have","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","Other","Not allowed","HU3","","570.95","","","","","","","","","","",""
"1262","2014-09-25 08:47:20","1","en","2014-09-25 08:43:52","2014-09-25 08:47:20","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Primary Care / GP","","Manager/Executive","","Yes","No","No","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I don't need to do this","I can do this already","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","I don't know","","SO22 5DG","","208.36","","","","","","","","","","",""
"13","2014-09-18 13:24:40","1","en","2014-09-18 13:15:03","2014-09-18 13:24:40","194.176.105.150","http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew","Secondary Care / Hospital","","Administrative Staff","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","At present I use the patient wifi using our team device not on the trust network but a device on the trust network would be preferable. ","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","so22 5dg","Trust wifi access must be with a trust device and our IT team are slow to offer advice about what devices they will support so we gave up and once the patient wifi came along we decided to have devices which we connect to the patient wifi as it was simpler and didn't involve IT team!","577.77","","","","","","","","","","",""
"14","2014-09-18 13:24:17","1","en","2014-09-18 13:19:18","2014-09-18 13:24:17","62.252.63.179","","Mental Health","","Other","Library","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","","","","","","","","","","I don't know","","RG30 4EJ","It would be useful to have access to WiFi so that I can demon","299.55","","","","","","","","","","",""
"15","2014-09-18 13:24:34","1","en","2014-09-18 13:21:02","2014-09-18 13:24:34","194.176.105.132","","Mental Health","","Administrative Staff","","Yes","Yes","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","Other","None","SO30 3JB","I think for patients it would be good ","212.69","","","","","","","","","","",""
"16","2014-09-18 13:31:08","1","en","2014-09-18 13:21:10","2014-09-18 13:31:08","62.255.241.85","","Secondary Care / Hospital","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't know","","RG1","","598.22","","","","","","","","","","",""
"17","2014-09-18 13:27:50","1","en","2014-09-18 13:21:11","2014-09-18 13:27:50","194.176.105.141","","Secondary Care / Hospital","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","Other","No wifi for patients/visitors","PO30 5TG","","398.88","","","","","","","","","","",""
"18","2014-09-18 13:24:03","1","en","2014-09-18 13:22:10","2014-09-18 13:24:03","194.176.105.141","","Secondary Care / Hospital","","Administrative Staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't know","","BH15 2JB","","113.87","","","","","","","","","","",""
"19","2014-09-18 13:26:49","1","en","2014-09-18 13:23:21","2014-09-18 13:26:49","194.176.105.150","","Secondary Care / Hospital","","Administrative Staff","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","SL2 4HL","The most important thing to say about the Trust's WiFi is that it is a strong but slow signal and therefore my mobile device automatically disconnects whenever it runs too slowly (i.e. it disconnects frequently)","208.68","","","","","","","","","","",""
