"ID","TOKEN","SUBMITDATE","STARTLANGUAGE","481147X1X1","481147X1X1OTHER","481147X1X2","481147X1X2OTHER","481147X1X7","481147X1X7OTHER","481147X1X3","481147X1X3COMMENT","481147X1X41","481147X1X42","481147X1X43","481147X1X44","481147X1X45","481147X1X46","481147X1X47","481147X1X48","481147X1X5","481147X1X6"
"71",,"01-01-1980 00:00:00","en",,"NHS Provider/CCG","3",,"1",,"1","Free WIFI is already available at most of our Trust sites, and continues to be rolled out more widely",,,,,,,,,"TQ2 7TD","Both Public Wifi and Corporate Wifi are generally available at all of our community hospitals, but this is an ongoing programme of work. It is available at our local DGH, and at 50% of our community hospitals. We are hoping to expand this to all GP surgeries in the CCG within the next year, subject to NGMS funding"
"24",,"01-01-1980 00:00:00","en","1",,"1",,,"None","4",,"5","8","7","2","1","6","4","3","sn1 1ed","3g for community use would be much more useful"
"539",,"01-01-1980 00:00:00","en","2",,"3",,"1",,"1",,"2","3","1","5","8","4","7","6","EC1V 2PD","Having complete coverage around the hospital, although we have it, it can be patchy at best"
"540",,"01-01-1980 00:00:00","en","2",,"3",,"4",,"2",,,,,,,,,,"EC1","I would only use my own iPhone/iPad/laptop to access the WiFi for email & teaching resourcses. I do not think personal equipment should be used to access pateint details eg demographics, records, test results etc.This would be different if it were encryptded NHS equipment & this would be very useful for some meetings & allow me to add to electronic records in a contemporaneous manner."
"76",,"01-01-1980 00:00:00","en","3",,"1",,"4",,"1",,"4","5","1","7","2","8","3","6","wn3 6pr",
"77",,"01-01-1980 00:00:00","en","2",,"1",,,"No wifi","1","Finding signposting information easier and for pts using own devices able to show them where info is to support self management and education for mental health","3","1","4","2","5","7","8","6","SO14","Would make diary management easier.Pts would be able to keep in touch with social network.Finding information easie"
"78",,"16-04-2013 15:28:00","en","1",,"1",,,"no wifi","1",,,,,,,,,,,
"79",,"01-01-1980 00:00:00","en","1",,"2",,"2",,"2",,,,,,,,,,,
"80",,"01-01-1980 00:00:00","en","1",,"1",,,"definitely no wifi","4","As a GP, I work either next to a PC with internet access in my office, or in patients' homes, where I'd have to rely on 3G access anyway",,,,,,,,,"nw67jq",
"531",,"01-01-1980 00:00:00","en","2",,"1",,"4",,"1",,"2","1","3",,,,,,"UB8",
"82",,"01-01-1980 00:00:00","en","2",,"2",,,"free wifi is being installed","1","access to mobile resources including point of care tools is becoming more important","1","3","2","6","7","5","8","4","CF14 2TL",
"83",,"16-04-2013 15:28:00","en","2",,"1",,"4",,,,,,,,,,,,,
"85",,"01-01-1980 00:00:00","en","2",,"1",,,"none available","4","spped and ease of access to results etc  depends on GUI and device  - most are hopeless","7","6","2","5",,,,,"NE29 8NH",
"86",,"01-01-1980 00:00:00","en","1",,"1",,,"there isn't any","4","No impact for me as I am always using desktop",,,,,,,,,"cf83 8fa",
"87",,"01-01-1980 00:00:00","en","2",,"3",,,"Not available","1",,"1","3","5","7","6","8","2","4",,"It is essential to the provision of good clinical care."
"88",,"01-01-1980 00:00:00","en","1",,"3",,,"No patient access","1",,"1","4","2","7","5","6","3","8","CW10 9BE",
"89",,"01-01-1980 00:00:00","en","2",,"1",,,"Some wards have password protected wifi for patients - not all.  None elsewhere.","1",,,,,,,,,,"B15 2TT",
"90",,"16-04-2013 15:29:00","en","3",,"1",,,"Does not exist!",,,,,,,,,,,,
"91",,"01-01-1980 00:00:00","en","2",,"3",,,"No wifi for non NHS staff","2",,"1","2","3",,,,,,,
"92",,"16-04-2013 15:29:00","en","2",,"4",,"3",,"2",,,,,,,,,,,
"93",,"01-01-1980 00:00:00","en","1",,"1",,,,"1",,"5","1","4","6","2","7","8","3","SW4 8JP",
"94",,"01-01-1980 00:00:00","en","2",,"1",,,"No WIFI","1",,"1","2","7","8","5","6","4","3","LL18 5UJ",
"105",,"01-01-1980 00:00:00","en","2",,"3",,"3",,"2",,"2","4","1","5","6","7","8","3","LN2 5QY",
